text,label
"World War I was caused by a complex mix of factors, including militarism, alliances between countries, imperialism, and nationalism.\n\nMilitarism refers to the glorification of military power and values, and the belief that a country's military strength is essential for its success and security. Many countries, particularly those in Europe, had been building up their military capabilities in the decades leading up to World War I, and this arms race contributed to an atmosphere of tension and mistrust between nations.\n\nAlliances between countries also played a role in the outbreak of the war. Many countries had formed formal agreements to defend each other in the event of an attack, which meant that an act of aggression against one country could quickly escalate into a larger conflict involving multiple nations.\n\nImperialism, or the desire to acquire and control colonies and other territories, was also a significant factor in the lead-up to World War I. Countries in Europe and elsewhere competed to build empires and gain control over resources and markets, leading to tensions and conflicts between them.\n\nFinally, nationalism, or the belief in the superiority of one's own nation, was a powerful force that fueled the war. Many people believed that their country was superior to others, and were willing to fight to defend it. This sentiment was particularly strong in countries with large empires, where the belief in the superiority of one's own nation was often used to justify the colonization and exploitation of other peoples and lands.\n\nOverall, the complex mix of militarism, alliances, imperialism, and nationalism set the stage for the outbreak of World War I, which was triggered by the assassination of Archduke Franz Ferdinand of Austria-Hungary in 1914.",1
"It is difficult to identify a specific individual as the inventor of medicine, as the practice of medicine has a long and varied history that stretches back to ancient civilizations. Medicine has evolved over time through the work of many different people and cultures, and has been influenced by a variety of factors, including advances in science and technology, changes in societal attitudes and beliefs, and the needs and experiences of patients.\n\nOne of the earliest known systems of medicine is that of ancient Egypt, which dates back to around 2500 BC. The Egyptians had a complex system of medical practice that included both physical and spiritual treatment methods. They also made significant contributions to the field of anatomy and surgery, and their knowledge of medicinal plants was extensive.\n\nIn ancient Greece, the physician Hippocrates is often considered the ""father of medicine"" for his contributions to the development of a rational and scientific approach to the practice of medicine. He is credited with establishing the concept of the ""healing art,"" which placed the welfare of the patient at the center of medical practice, and he is also known for his famous oath, which is still used by physicians today.\n\nOther important figures in the history of medicine include Galen, a physician in ancient Rome who made significant contributions to the understanding of anatomy and physiology, and the Chinese physician Hua Tuo, who is credited with the invention of the first anesthetic.\n\nOverall, the development of medicine has been a collaborative effort that has involved the contributions of many different people and cultures over the course of history.",1
"Stocks and bonds are two types of securities that represent ownership in a company or a loan made to a government or corporation, respectively.\n\nStocks, also known as equities, represent ownership in a company and entitle the holder to a share of the company's profits and assets. When you buy a stock, you are buying a small ownership stake in the company. If the company does well and its value increases, the value of your stock may also increase, and you may be able to sell your stock for a profit. On the other hand, if the company does poorly, the value of your stock may decrease.\n\nBonds, on the other hand, represent a loan made to a government or corporation. When you buy a bond, you are lending money to the issuer in exchange for interest payments and the return of principal at a later date. The issuer of the bond is obligated to pay the bondholder a specified rate of interest during the life of the bond and to repay the principal, or face value, of the bond when it matures. The value of a bond can fluctuate based on a number of factors, including the creditworthiness of the issuer and market interest rates.\n\nBoth stocks and bonds can be bought and sold on financial markets, such as stock exchanges. They are often used as investments, with the goal of generating income or capital appreciation.",1
"During the immigration period, immigrants came to the United States from many different countries around the world. Some of the major countries of origin for immigrants to the U.S. include:\n\nIreland\nGermany\nItaly\nPoland\nRussia\nMexico\nChina\nJapan\nIndia\nCanada\nPhilippines\nImmigration to the United States has always been diverse, and immigrants have come from many different countries and regions throughout the world. In recent years, the largest numbers of immigrants have come from Latin America, Asia, and Africa.",1
"The 17th and current Chief Justice is John G. Roberts, Jr.",0
"The Qing dynasty was the last imperial dynasty of China, lasting from 1644 to 1912. It was established by the Manchus, a semi-nomadic people from what is now Northeast China. The Qing dynasty began in 1644, when the Manchus, led by the Qing founder Nurhaci, captured the Ming dynasty capital of Beijing. The Qing dynasty went on to become one of the most powerful empires in the world, ruling over a vast territory that included present-day China, Tibet, Mongolia, Taiwan, and parts of Central Asia and the Russian Far East. The Qing dynasty ended in 1912 with the abdication of the last Qing emperor, Puyi, and the establishment of the Republic of China.",1
"The Great Basin is a large area of the western United States that stretches from Oregon and Idaho in the north, down through Nevada and Utah, and into California and Arizona in the south. It is located between the Sierra Nevada mountain range to the west and the Cascade Range to the north and east. The Great Basin is known for its arid climate, with sparse vegetation and few permanent bodies of water. Some of the major cities and landmarks located within the Great Basin include Reno and Lake Tahoe in Nevada, Salt Lake City in Utah, and the Great Salt Lake.",1
"The bag itself was made up of different animal hide and skin (depending on what sorts of animals were in the area) and sewn together by the intestines of said animals, which were woven together tightly to make a sturdy thread-like material.",0
"Andorra (; , ), officially the Principality of Andorra (), also called the Principality of the Valleys of Andorra, (), is a landlocked microstate in Southwestern Europe , located in the eastern Pyrenees mountains and bordered by Spain and France .",0
"Bing (known previously as Live Search, Windows Live Search, and MSN Search) is a web search engine (advertised as a "" decision engine "") from Microsoft .",0
"The Free Soil Party was a short-lived political party in the United States active in the 1848 and 1852 presidential elections, and in some state elections.",0
"As of April 2013, Zuckerberg is the chairman and chief executive of Facebook, Inc. and in 2013 his personal wealth was estimated to be US$13 .3 billion .",0
"3G, or 3rd generation, is a mobile network standard that refers to the generation of cellular network technology that followed 2G. 3G networks provide faster data speeds than 2G networks, allowing for more advanced mobile communications and internet access. 3G networks were initially introduced in the late 1990s and early 2000s, and they have since been replaced by newer mobile network standards such as 4G and 5G.\n\nIn general, 3G networks are characterized by their ability to support higher data speeds and more advanced mobile services than 2G networks. This includes support for things like video calls, mobile internet access, and high-quality audio. 3G networks operate on different frequency bands and use different technologies than 2G networks, which allows them to offer these additional capabilities.\n\nIf you see a device or service advertised as being compatible with 3G networks, it means that it is capable of using the 3G standard for mobile communication and internet access.",1
"Windows XP is an operating system that was released by Microsoft in 2001. It was the successor to Windows 2000 and was the first version of Windows to use the Windows NT kernel. Windows XP was widely popular and was used on many personal computers and laptops until it reached its end of life in 2014. It was succeeded by Windows Vista, which was released in 2007.",1
"The United States Oath of Allegiance (officially referred to as the ""Oath of Allegiance,"" 8 C.F.R. Part 337 (2008)) is an oath that must be taken by all immigrants who wish to become United States citizens .",0
"Ischemia refers to a lack of blood flow to a particular part of the body. This can occur when the blood vessels that supply blood to an organ or tissue become narrowed or blocked, preventing oxygen and nutrients from reaching the affected area. Ischemia can lead to tissue death (infarction) if left untreated.\n\nThere are two types of ischemia:\n\nAcute ischemia: This is a sudden and severe reduction in blood flow to an organ or tissue. Acute ischemia can be life-threatening and requires immediate medical attention.\n\nChronic ischemia: This is a long-term reduction in blood flow to an organ or tissue. Chronic ischemia can cause damage to the affected organ or tissue over time, but it is not typically life-threatening.\n\nIschemia can affect any part of the body, but it is most commonly associated with the heart (ischemic heart disease), brain (ischemic stroke), and legs (peripheral arterial disease). Treatment for ischemia depends on the cause and severity of the condition, and may include medications, surgery, or lifestyle changes.",1
"Petit Le Mans is a sports car endurance race held annually at Road Atlanta in Braselton, Georgia, USA. The race is named after the 24 Hours of Le Mans, a famous endurance race held annually in France, and is a part of the IMSA WeatherTech SportsCar Championship. The Petit Le Mans race is traditionally held in October and lasts for 10 hours, making it one of the longer endurance races in the world. It attracts a wide variety of competitors, including prototypes and GT cars from manufacturers such as Porsche, Ferrari, and BMW, and is known for its high level of competition and exciting on-track action.",1
Kathmandu ( ; ) is the capital and largest urban agglomerate of Nepal .,0
"Justinian I () (, ) (c. 482 – 14 November 565), commonly known as Justinian the Great, was Byzantine Emperor from 527 to 565.",0
"Central America consists of seven countries: Belize , Costa Rica , El Salvador , Guatemala , Honduras , Nicaragua , and Panama .",0
"As of 2021, many countries around the world allow gay, lesbian, and bisexual individuals to openly serve in their military forces. These countries include:\n\nAustralia\nAustria\nBelgium\nBolivia\nCanada\nChile\nColombia\nCzech Republic\nDenmark\nEstonia\nFinland\nFrance\nGermany\nIsrael\nItaly\nLithuania\nLuxembourg\nNetherlands\nNew Zealand\nNorway\nPeru\nPoland\nPortugal\nSlovakia\nSlovenia\nSouth Africa\nSpain\nSweden\nSwitzerland\nUnited Kingdom\nUruguay\nIt is worth noting that the rights and protections for LGBTQ+ individuals vary widely from country to country, and some countries may have more progressive policies on paper but still face challenges in terms of societal attitudes and discrimination. In addition, some countries have specific policies in place to protect the rights of transgender individuals in the military, while others do not.",1
"Shropshire is a county in the West Midlands region of England. It is located to the west of Birmingham, and borders Wales to the west. The county town is Shrewsbury, which is a historic market town with a number of landmarks and attractions, including the castle and Quarry Park. Other notable towns and villages in Shropshire include Ludlow, Bridgnorth, and Market Drayton. The county is known for its beautiful countryside, including the Shropshire Hills Area of Outstanding Natural Beauty, and is a popular destination for walkers and outdoor enthusiasts.",1
"There are 30 Major League Baseball (MLB) teams in the United States. These teams are divided into two leagues, the National League and the American League, and each league is further divided into three divisions: East, Central, and West. There are 15 teams in each league. Major League Baseball is the highest level of professional baseball in the United States and is made up of teams from cities across the country, including New York, Los Angeles, Chicago, and many others. In addition to the 30 MLB teams, there are also numerous minor league baseball teams and amateur baseball teams throughout the United States.",1
"Scotty McCreery is an American country music singer from Garner, North Carolina. He rose to fame as the winner of the tenth season of American Idol in 2011. Since then, he has released several successful albums and singles, and has become a prominent figure in the country music industry.",1
"The attack on Pearl Harbor (called Hawaii Operation or Operation AI by the Japanese Imperial General Headquarters (Operation Z in planning) and the Battle of Pearl Harbor) was a surprise military strike conducted by the Imperial Japanese Navy against the United States naval base at Pearl Harbor , Hawaii, on the morning of December 7, 1941 (December 8 in Japan).",0
"Sergeant Major Daniel Joseph ""Dan"" Daly (November 11, 1873 – April 27, 1937) was a United States Marine and one of only nineteen men (including seven Marines) to have received the Medal of Honor twice .",0
"Coatesville is a town in Clay Township , Hendricks County , Indiana , United States .",0
It took place in South Africa from 11 June to 11 July 2010.,0
"In the Bible, Shem is one of the three sons of Noah, the man who built the Ark and survived the great flood described in the book of Genesis. Shem is mentioned several times in the Old Testament as the ancestor of several Semitic peoples, including the Israelites. According to the genealogy recorded in Genesis, Shem was the oldest son of Noah, and his descendants were said to be blessed by God. He is also mentioned in other parts of the Bible, including the book of 1 Chronicles, where he is listed as a son of Noah and an ancestor of King David.",1
"The Starving Time was a period of extreme hardship and starvation experienced by the English settlers at Jamestown, the first permanent English settlement in North America, in the winter of 1609-1610. The settlers had arrived in Jamestown in May 1607 and had initially encountered some difficulties, including conflicts with the local Native American tribes and a lack of sufficient food and supplies. However, the situation became much worse in the winter of 1609-1610 due to a combination of factors, including the failure of the settlers to properly prepare for the winter, the loss of their supply ship, and an unusually harsh winter.\n\nAs a result of these factors, the settlers were forced to resort to desperate measures in order to survive. Many of them were forced to eat whatever they could find, including rats, snakes, and even the bodies of their own dead. It is estimated that around 80% of the settlers died during the Starving Time, and the settlement was on the brink of collapse. The situation was eventually rescued by the arrival of a new supply ship in the spring of 1610, which brought much-needed food and supplies to the starving settlers.",1
"It was founded in February 2004 by Mark Zuckerberg with his college roommates and fellow Harvard University students Eduardo Saverin , Andrew McCollum , Dustin Moskovitz and Chris Hughes .",0
"According to this report, about 42.5% of all Jews reside in Israel (5.7 million), and 39.3% in the United States (5.3 million), with most of the remainder living in Europe (1.5 million) and Canada (0.4 million).",0
"There are 11 official languages in South Africa: Afrikaans, English, Ndebele, Northern Sotho, Sotho, Swazi, Tswana, Tsonga, Venda, Xhosa, and Zulu. Afrikaans and English are the most widely spoken languages, with Afrikaans being the native language of many white South Africans and English being the primary language of business and government. Many South Africans are multilingual and also speak one or more of the other official languages.",1
When the Wind Blows is a novel by James Patterson .,0
"The North American Free Trade Agreement (NAFTA) is a trade agreement between the United States, Canada, and Mexico that was implemented in 1994. The main goals of the agreement were to eliminate tariffs and other trade barriers between the three countries, promote economic growth and development, and improve competitiveness.\n\nUnder NAFTA, the three countries agreed to eliminate tariffs on a wide range of goods and services, including industrial products, agricultural products, and textiles. The agreement also included provisions on intellectual property rights, environmental protection, and labor standards.\n\nNAFTA has been controversial, with some arguing that it has contributed to the loss of manufacturing jobs in the United States and increased economic inequality. However, others argue that it has helped to increase trade between the three countries, boosting economic growth and competitiveness.",1
"Christianity was introduced to sub-Saharan Africa in the 1st century AD, shortly after the death and resurrection of Jesus Christ. The religion spread through the region over the next several centuries through the efforts of missionaries and traders, and it continues to have a significant presence in sub-Saharan Africa today.\n\nAccording to tradition, the apostle St. Philip the Evangelist preached in the region of present-day Ethiopia in the 1st century AD, and the Ethiopian eunuch mentioned in the New Testament (Acts 8:26-40) is believed to have been converted to Christianity by Philip. The Ethiopian Orthodox Tewahedo Church, which has its roots in this early period of Christian history, is one of the oldest Christian denominations in Africa.\n\nOther early centers of Christianity in sub-Saharan Africa included Egypt, which had a large Christian population by the 4th century AD, and North Africa, which was heavily influenced by early Christian theologians such as St. Augustine of Hippo. From these early centers, Christianity spread throughout the rest of sub-Saharan Africa, particularly through the work of European missionaries in the 19th and 20th centuries. Today, there are millions of Christians in sub-Saharan Africa, representing a wide range of denominations and traditions.",1
"Ischemia refers to a reduction in blood flow to a particular part of the body, usually a organ or tissue. This can occur when the blood vessels that supply blood to the area become narrowed or blocked, preventing oxygen and nutrients from reaching the cells. Ischemia can be caused by a number of factors, including plaque buildup in the blood vessels, blood clots, and inflammation.\n\nInfarction refers to the death of cells or tissue due to a lack of oxygen and nutrients caused by ischemia. Infarction can occur in any part of the body, but it is most commonly associated with the heart (heart attack) and brain (stroke). Infarction can be a serious medical condition that requires immediate treatment to prevent further tissue damage or death.",1
She was charged with first degree murder in October 2008 and pled not guilty.,0
"On 28 June 1914, Archduke Franz Ferdinand of Austria , heir presumptive to the Austro-Hungarian throne, and his wife, Sophie, Duchess of Hohenberg , were shot dead in Sarajevo , by Gavrilo Princip , one of a group of six Bosnian Serb assassins coordinated by Danilo Ilić .",0
"The hard palate is a bony structure that forms the roof of the mouth and separates the oral cavity from the nasal cavity. It plays several important roles in the body, including:\n\nFacilitating speech: The hard palate helps to shape the mouth and oral cavity in a way that allows for the production of different sounds during speech.\n\nProtecting the nasal cavity: The hard palate acts as a barrier between the oral cavity and nasal cavity, helping to prevent food and liquids from entering the nasal cavity.\n\nProviding support for the teeth: The hard palate helps to support the upper teeth, allowing them to function properly for biting and chewing.\n\nFiltering and humidifying air: The hard palate has tiny hair-like structures called cilia that help to filter and humidify the air that is breathed in through the nose.\n\nOverall, the hard palate is an important structure that plays a vital role in several important functions of the body.",1
"Six Sigma is a data-driven approach to process improvement that aims to reduce defects and variability in business processes. It uses a set of tools and techniques to identify and eliminate sources of defects and variability in order to improve the efficiency and effectiveness of business processes. Some common Six Sigma tools include:\n\nDMAIC (Define, Measure, Analyze, Improve, Control): This is a process improvement methodology that is used to identify and eliminate sources of defects and variability in business processes.\n\nSIPOC (Suppliers, Inputs, Process, Outputs, Customers): This tool is used to map out a high-level process and identify the key elements that are involved in the process.\n\nFishbone Diagram (Ishikawa Diagram): This tool is used to identify the root causes of problems or defects in a process.\n\nPareto Chart: This chart is used to identify the most significant factors that contribute to a problem or defect in a process.\n\nControl Chart: This chart is used to monitor and control a process over time to ensure that it is operating within specified limits.\n\nFMEA (Failure Mode and Effects Analysis): This tool is used to identify potential failure modes in a process and evaluate their impact on the process.\n\nLean Six Sigma: This approach combines the principles of Six Sigma with the principles of lean manufacturing to create a more efficient and effective process improvement methodology.",1
"The stars of the show were Mister Ed, a palomino horse who could ""talk"", played by gelding Bamboo Harvester and voiced by former Western star Allan Lane (who went uncredited for the entire length of the series), and his owner, an eccentric and enormously klutzy , yet friendly, architect named Wilbur Post ( Alan Young ).",0
"SQL Server 2005 is a database management system developed by Microsoft. It can be used to store, retrieve, and manipulate data in a structured manner. Some specific capabilities of SQL Server 2005 include:\n\nCreating and modifying databases and tables\nStoring and retrieving data from databases\nSetting up user accounts and permissions\nBacking up and restoring databases\nQuerying and analyzing data using Structured Query Language (SQL)\nImplementing security measures to protect data\nIntegrating with other applications and tools, such as Excel and Visual Studio\nSQL Server 2005 is also equipped with a range of advanced features, such as support for stored procedures, triggers, and full-text search. It can be used to power a variety of applications, from small business solutions to enterprise-level systems.",1
"The Beatles released the song ""I Want to Hold Your Hand"" in 1964. It was their first single to be released in the United States, and it became a major hit, reaching the top of the charts and helping to introduce the band to a wider audience. The song was written by John Lennon and Paul McCartney and was recorded at EMI Studios in London. It was released on the album ""Meet the Beatles!"" and has since become one of the most iconic and beloved songs in the history of rock music.",1
The Egg McMuffin is the signature breakfast sandwich; it was invented by the late McDonald's franchisee Herb Peterson in the late 1960s and was introduced nationwide in 1972.,0
Brisket is a cut of meat from the breast or lower chest of beef or veal .,0
"The states which have shoreline on the East Coast are, from north to south, the U.S. states of Maine , New Hampshire , Massachusetts , Rhode Island , Connecticut , New York , New Jersey , Delaware , Maryland , Virginia , North Carolina , South Carolina , Georgia , and Florida .",0
"Black hairy tongue (BHT, also termed lingua villosa nigra) refers to a condition of the tongue where the filiform papillae elongate with black or brown discoloration, giving a black and hairy appearance.",0
"It is available as a commercial product in many countries, with similar variations in ingredients, cooking method, and other variables.",0
"Bowel obstruction (or intestinal obstruction) is a mechanical or functional obstruction of the intestines, preventing the normal transit of the products of digestion.",0
"The Battle of Iwo Jima (19 February – 26 March 1945), or Operation Detachment, was a major battle in which the United States Armed Forces fought for and captured the island of Iwo Jima from the Japanese Empire .",0
"Pope Benedict XVI was elected on April 19, 2005. He served as the pope until his resignation on February 28, 2013. Prior to his election as pope, he was Joseph Ratzinger, a German cardinal and the Prefect of the Congregation for the Doctrine of the Faith. He was elected as pope following the death of Pope John Paul II.",1
"Antoine Devon Walker (born August 12, 1976) is an American former professional basketball player.",0
"A savanna, or savannah, is a grassland ecosystem characterized by the trees being sufficiently widely spaced so that the canopy does not close.",0
"Rock of Ages is a rock / jukebox musical , with a book by Chris D'Arienzo, built around classic rock hits from the 1980s, especially from the famous glam metal bands of the decade.",0
"A player hitting for the cycle refers to a batter who hits a single, double, triple, and home run in the same game. It is a rare feat in baseball, and the exact number of times it has occurred is not known. According to the Baseball Almanac, there have been more than 300 instances of a player hitting for the cycle in Major League Baseball (MLB) history. However, this number is likely to be higher because it only includes games that have been recorded, and it is possible that some instances of a player hitting for the cycle may have gone unrecorded. Hitting for the cycle is considered a notable achievement in baseball and is often celebrated by players and fans alike.",1
An otoacoustic emission (OAE) is a sound which is generated from within the inner ear .,0
"\n2 / 2\n\nCricket Wireless is a mobile virtual network operator (MVNO) that provides wireless services using the infrastructure of the major wireless carriers in the United States, including AT&T and Verizon. Cricket is owned by AT&T and operates as a subsidiary of the company.",1
"Afghan cuisine is a blend of Middle Eastern and Central Asian flavors. Some common ingredients and dishes found in Afghan cuisine include:\n\nRice: Rice is a staple in Afghan cuisine and is often served with meals.\n\nNaan: Naan is a type of flatbread that is commonly eaten in Afghanistan. It is often served with meals as a side dish.\n\nKebabs: Kebabs are a popular dish in Afghanistan and are made with grilled meat, typically lamb or chicken, and served with rice or naan.\n\nBolani: Bolani is a type of flatbread filled with vegetables, such as potatoes, onions, or leeks, and served with yogurt or chutney.\n\nAshak: Ashak is a dish made with boiled dumplings filled with a mixture of leeks and ground beef, and served with a yogurt sauce.\n\nQabili palaw: Qabili palaw is a dish made with rice and lamb, and is often garnished with raisins and carrots.\n\nAush: Aush is a type of soup made with noodles, meat, and vegetables, and is often served with a side of yogurt.\n\nFruits and vegetables: Afghanistan is home to a variety of fresh fruits and vegetables, including melons, grapes, pomegranates, apples, apricots, and tomatoes. These are often used in Afghan dishes or eaten as snacks.",1
"Jameson is similar in its adherence to the single distillery principle to the single malt tradition, but Jameson blends column still spirit with Single pot still whiskey , a combination of malted barley with unmalted or ""green"" barley distilled in a pot still.",0
"David Ortiz is a retired professional baseball player from the Dominican Republic. He was born in Santo Domingo, the capital of the Dominican Republic, on November 18, 1975. Ortiz played for several Major League Baseball (MLB) teams during his career, including the Minnesota Twins, Boston Red Sox, and the Dominican Republic national team. He is considered one of the greatest designated hitters in baseball history and is affectionately known as ""Big Papi"" to fans.",1
"The MS-DRGs (Medicare Severity Diagnosis Related Groups) system went into effect on October 1, 2007 as a way to classify hospital inpatient cases into one of 745 distinct groups for the purpose of payment. The MS-DRGs are used by the Centers for Medicare and Medicaid Services (CMS) to determine the amount of payment that hospitals will receive for services provided to Medicare beneficiaries. The MS-DRGs use a combination of diagnoses, procedures, and patient characteristics to categorize cases and determine the appropriate level of payment. The MS-DRGs are used to reimburse hospitals for the care provided to Medicare beneficiaries and are based on the severity of the patient's illness, the complexity of the treatment provided, and the expected length of stay in the hospital.",1
